Pair,Total_Return,Cumulative_Return,Annualized_Return,Sharpe_Ratio,Max_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Net_PnL,Transaction_Costs,Status
AAREYDRUGS-AJRINFRA,-311.19,-311.19,nan,0.456,312.34,12615,46.5,0.68,-311185.10,394661.23,POOR
ABSLAMC-APCL,-253.54,-253.54,nan,-0.316,253.56,12656,22.0,0.12,-253543.64,273648.23,POOR
AGSTRA-ANURAS,-280.88,-280.88,nan,0.017,280.88,12834,6.1,0.02,-280882.96,292969.87,POOR
AARVI-ADANITRANS,-296.67,-296.67,nan,0.205,296.67,12892,7.2,0.02,-296665.81,304266.52,POOR
AAVAS-AMRUTANJAN,-282.83,-282.83,nan,-0.333,282.83,12878,6.0,0.01,-282830.87,292700.21,POOR
PORTFOLIO (REALISTIC),5096.55,5096.55,56.10,-0.232,909.69,63875,17.4,0.33,-1425108.38,1558246.06,PORTFOLIO
